Column1;Направление / компонент;Измерение (аспект);Индикатор;Способ измерения;Категория;Подкатегория;Тип источника;Метод рассчета;Дезагрегирование данных;Доступность в Кыргызстане (Поставьте галочку, если данные доступны);Источник данных (учреждение, обладающее данными);Ответственное учреждение;Имя контактного лица;адрес эл.почты контактного лица;номер телефона контактного лица;Комментарий по расхождениям в данных / соответствию метаданным;Доступны ли данные в динамике? За какие годы?
38;Меры по предупреждению;b.3 Коллизия интересов ;b.3.5 Наличие нормативных актов о коллизии интересов, включая четкие указания относительно того, какие коллизии подлежат раскрытию и как сообщать о них, а также относительно последствий;Косвенные оценки;Реагирование;ДЕ-ЮРЕ;Нормативно-правовая база;"Бинарная оценка: 1 = Регулирование конфликта интересов существует и является всеобъемлющим, 0 = Не существует.

Регулирование конфликта интересов должно соответствовать всем следующим критериям:

Всеобъемлющий охват. Определение всех соответствующих категорий государственных должностных лиц и охват всех видов интересов, которые могут ненадлежащим образом повлиять на исполнение служебных обязанностей.

Четкие определения. Наличие ясных определений того, что составляет реальный, потенциальный или мнимый (кажущийся) конфликт интересов.

Типология ситуаций. Четкое определение ситуаций и типов отношений, которые могут спровоцировать конфликт интересов.

Обязательные требования к раскрытию информации. Наличие установленных процедур и периодичности декларирования.

Процедуры управления. Наличие механизмов разрешения конфликтов интересов в случае их возникновения для обеспечения беспристрастности при принятии официальных решений.

Санкции. Наличие мер ответственности за несоблюдение требований или предоставление недостоверных сведений.";По ветвям власти;ЛОЖЬ;;;;;;;
39;Меры по предупреждению;b.3 Коллизия интересов ;b.3.6 Наличие нормативных актов о лоббистской деятельности, включая четкие указания относительно того, какая лоббистская деятельность подлежит раскрытию и как сообщать о ней ;Косвенные оценки;Реагирование;ДЕ-ЮРЕ;Нормативно-правовая база;"Бинарная оценка: 1 = Регулирование лоббизма существует и является всеобъемлющим, 0 = Не существует.

Надлежащее регулирование лоббистской деятельности должно охватывать все следующие ключевые элементы:

Всеобъемлющий и четкий охват. Оно должно четко определять, что именно считается лоббизмом и кто квалифицируется как лоббист.

Реестр. Наличие обязательного публичного реестра лоббистов, в котором должны регистрироваться все лоббисты с указанием сведений об их деятельности, работодателях или клиентах.

Требования к раскрытию информации. Они должны включать: вопросы, по которым велось лоббирование; должностных лиц, с которыми устанавливался контакт; даты и частоту взаимодействия; используемые каналы связи; финансовые расходы на представительские нужды и подарки; а также личности работодателей/клиентов.

Четкое руководство по отчетности. Указание того, как и когда должны представляться отчеты, включая обновления и исправления.

Обеспечение соблюдения и санкции. Определение органа, ответственного за мониторинг лоббистской деятельности, проведение расследований и наложение санкций.

Каналы сообщения о нарушениях. Создание механизмов для сообщения о любых выявленных нарушениях.

Прозрачность. Как реестр, так и отчеты о раскрытии информации должны быть общедоступными и регулярно обновляться.";По ветвям власти;ЛОЖЬ;;;;;;;
40;Меры по предупреждению;b.3 Коллизия интересов ;b.3.7 Доля публичных должностных лиц, подпавших под санкции за нераскрытие информации о коллизии интересов в предыдущем году ;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;(Количество должностных лиц, привлеченных к ответственности за нераскрытие конфликта интересов ÷ Общее количество должностных лиц, обязанных раскрывать конфликт интересов) × 100;"По ветвям власти

По уровню должностного лица

По типу санкции (взыскания)";ЛОЖЬ;;;;;;;
41;Меры по предупреждению;b.5 Публичные закупки ;b.5.1 Доля публичных контрактов, заключенных без конкуренции ;Прямая оценка;;;Ведомственные данные;(Количество государственных контрактов, заключенных на внеконкурсной основе ÷ Общее количество государственных контрактов) × 100;"По закупающей организации (государственному заказчику)

По секторам (согласно классификации функций органов государственного управления — COFOG)

По способу присуждения контракта (типу определения поставщика)

По географическому положению (региону)";ЛОЖЬ;;;;;;;
42;Меры по предупреждению;b.5 Публичные закупки ;b.5.2 Прозрачная процедура закупок;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Ведомственные данные;"(Количество тендеров с полным набором данных ÷ Общее количество тендеров) × 100

Все пять элементов данных по каждому государственному тендеру должны быть общедоступными:

Открытый призыв / приглашение к участию

Критерии отбора

Описание процесса оценки

Уведомление о присуждении контракта (включая цену)

Информация о правах на апелляцию / пересмотр";"По закупающей организации (государственному заказчику)

По секторам (согласно классификации функций органов государственного управления — COFOG)

По способу присуждения контракта

По географическому положению (региону)";ЛОЖЬ;;;;;;;
43;Меры по предупреждению;b.5 Публичные закупки ;b.5.3 Наличие эффективных средств правовой защиты для участников торгов ;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Ведомственные данные;"Наличие эффективных средств правовой защиты:

Двухбалльная система оценки:

0 баллов: Эффективные средства правовой защиты отсутствуют.

1 балл: Эффективное средство правовой защиты существует (установлено законодательно).

2 балла: Эффективное средство правовой защиты существует, и имеется институционализированный потенциал для его реализации (оно закреплено законодательно, действует независимо, имеет стандартные операционные процедуры и регулярно публикует результаты своей деятельности).";По секторам (согласно классификации функций органов государственного управления — COFOG);ЛОЖЬ;;;;;;;
44;Меры по предупреждению;b.5 Публичные закупки ;b.5.4 Наличие черных и/или белых списков поставщиков ;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Ведомственные данные;"Оценка от 0 до 5 (Да = 1, Нет = 0). Действующая система должна:

иметь законодательную базу;

охватывать все министерства;

иметь функцию публичного поиска;

обновляться не реже одного раза в месяц;

указывать основания для включения поставщиков в список.";По секторам (согласно классификации функций органов государственного управления — COFOG);ЛОЖЬ;;;;;;;
45;Меры по предупреждению;b.5 Публичные закупки ;b.5.5 Соблюдение нормативно-правовых актов и процедур, касающихся публичных закупок, в соответствии со статьей 9 КПК ООН ;Косвенные оценки;Реагирование;ДЕ-ЮРЕ;Ведомственные данные;"50 вопросов по закупкам разделены на пять ключевых субобластей, отражающих структуру Статьи 9(1) КПоК ООН:

Общая нормативная база (Вопросы 1-5): Правовая основа и соответствие международным стандартам

Распространение информации и прозрачность (Вопросы 6-25): Требования к публикации, тендерная документация и доступность

Объективность принятия решений (Вопросы 26-40): Методы закупок, критерии присуждения и процедуры оценки

Внутренние системы пересмотра (Вопросы 41-47): Механизмы оспаривания и апелляционные процессы

Добропорядочность персонала (Вопросы 48-50): Проверка сотрудников, обучение и управление конфликтом интересов

Показатель соответствия в сфере закупок = Σ (Оценка субобласти × Вес)
Где Оценка субобласти = (Количество ответов «Да» / Общее количество вопросов) × 100";"По субобластям (отдельные оценки для каждой из пяти субобластей закупок)

По секторам (согласно классификации функций органов государственного управления — COFOG)";ЛОЖЬ;;;;;;;
46;Меры по предупреждению;b.5 Публичные закупки ;"b.5.6 Нормы о публичных закупках во время кризиса/чрезвычайной ситуации 
Наличие исключений из обычных процедур на случай чрезвычайных ситуаций";Косвенные оценки;Реагирование;ДЕ-ЮРЕ;Ведомственные данные;"Бинарная оценка по каждому элементу структуры (1 = полное соответствие, 0 = несоответствие).

Упрощенные процедуры, инициируемые в случае стихийных бедствий или неотложных угроз общественному здравоохранению, часто допускающие прямое присуждение контрактов или сокращенные сроки. Чрезвычайная нормативно-правовая база существует и содержит:

четкие критерии инициирования (триггеры);

финансовый лимит (потолок);

последующую (ex-post) публикацию в течение 30 дней;

последующую (ex-post) проверку соотношения «цена-качество» или обоснованности цены.";"По секторам (согласно классификации функций органов государственного управления — COFOG)

По типу чрезвычайной ситуации";ЛОЖЬ;;;;;;;
47;Меры по предупреждению;b.5 Публичные закупки ;b.5.7 Доля осуждений в уголовном порядке  в связи с нарушениями закупочных процедур ;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;(Количество окончательных обвинительных приговоров по уголовным делам, связанным с коррупцией в сфере закупок, сговором, манипулированием результатами торгов или мошенничеством за год ÷ Количество предъявленных обвинительных заключений за год) × 100;По секторам (согласно классификации функций органов государственного управления — COFOG);ЛОЖЬ;;;;;;;
48;Меры по предупреждению;b.5 Публичные закупки ;b.5.8 Число административных санкций в отношении компаний за причастность к нарушениям закупочных процедур, например запрет на участие в торгах;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;Общее количество вынесенных за год окончательных решений о наложении административных взысканий;По типу санкции (дисквалификация/запрет на участие в закупках, приостановление деятельности, аннулирование лицензии, денежный штраф);ЛОЖЬ;;;;;;;
49;Условия, способствующие сообщениям о коррупции и противодействию ей;c.2 Публичная отчетность и доступ к информации ;c.2.1 Запросы о доступе к информации;Прямая оценка;;;Ведомственные данные;;;ЛОЖЬ;;;;;;;
50;Условия, способствующие сообщениям о коррупции и противодействию ей;c.2 Публичная отчетность и доступ к информации ;c.2.2 Наличие упрощенных процедур;Косвенные оценки;Риск;ВОЗМОЖНОСТИ;Ведомственные данные;;;ЛОЖЬ;;;;;;;
51;Условия, способствующие сообщениям о коррупции и противодействию ей;c.2 Публичная отчетность и доступ к информации ;c.2.3 Исключения;Косвенные оценки;Риск;ВОЗМОЖНОСТИ;Ведомственные данные;;;ЛОЖЬ;;;;;;;
52;Условия, способствующие сообщениям о коррупции и противодействию ей;c.2 Публичная отчетность и доступ к информации ;c.2.4 Наличие регулирующего органа;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Ведомственные данные;;;ЛОЖЬ;;;;;;;
53;Условия, способствующие сообщениям о коррупции и противодействию ей;c.2 Публичная отчетность и доступ к информации ;c.2.5 Деятельность гражданского общества;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Ведомственные данные;;;ЛОЖЬ;;;;;;;
54;Условия, способствующие сообщениям о коррупции и противодействию ей;c.2 Публичная отчетность и доступ к информации ;c.2.6 Средства массовой информации;Косвенные оценки;Риск;ОГРАНИЧЕНИЯ;Открытые источники;;;ЛОЖЬ;;;;;;;
55;Условия, способствующие сообщениям о коррупции и противодействию ей;c.2 Публичная отчетность и доступ к информации ;c.2.7 Наличие нормативной базы для доступа к информации;Косвенные оценки;Реагирование;ДЕ-ЮРЕ;Нормативно-правовая база;;;ЛОЖЬ;;;;;;;
56;Условия, способствующие сообщениям о коррупции и противодействию ей;c.2 Публичная отчетность и доступ к информации ;c.2.8. Механизмы обжалования;Косвенные оценки;Реагирование;ДЕ-ЮРЕ;Нормативно-правовая база;;;ЛОЖЬ;;;;;;;
57;Условия, способствующие сообщениям о коррупции и противодействию ей;c.2 Публичная отчетность и доступ к информации ;c.2.9 Заблаговременная публикация информации, в том числе о рисках коррупции;Косвенные оценки;Реагирование;ДЕ-ФАКТО;Ведомственные данные;;;ЛОЖЬ;;;;;;;
;;;;;;;;;;ЛОЖЬ;;;;;;;
